LEAGUE,NAME,SEASON,UNIQUE ID,POS,AGE,#,TEAM,GP,EV P1/GP,PP P1/GP,P1/GP,EV G,EV A1,EV A2,EV P1,PP G,PP A1,PP A2,PP P1,SH G,SH A1,SH A2,SHOTS,SH%,TG,TP,TP/GP,EV%,Goals/P1,MISSING GF%,EV GF,EV GA,EV GF%,EV GF%Rel,OFF EV GF,OFF EV GA,eTOI/GP,P1/e60,DOB,BIRTH YEAR,HT,SHOOTS,Breakout Season,TSA,ShotAttempts/P1/e60
NCAAD1,Anna Klein (98),2020,520633/anna-klein,F,22,19,MND,36,0.4722,0.0278,0.5,12,5,0,17,1,0,0,1,0,0,0,84,15.48,13,18,0.5,94.44,72.22,0,48,31,60.76,10.76,31,31,21.76,1.3788,10/12/1998,1998,5'07,R,FALSE,117,84.85639687
NCAAD1,Anna Klein (98),2021,520633/anna-klein,F,23,19,MND,17,0.8824,0.0588,1.0588,9,6,0,15,0,1,0,1,2,0,0,62,17.74,11,18,1.0588,93.75,56.25,,24,8,75,16.67,21,15,21.59,2.9432,10/12/1998,1998,5'07,R,TRUE,117,39.75265018
NCAAD1,Anna Klein (99),2019,559466/anna-klein,F,20,27,SAC,30,0.3667,0.2667,0.7,5,6,0,11,4,4,0,8,2,0,0,90,12.22,11,21,0.7,57.89,47.37,0,24,10,70.59,3.22,64,31,16.73,2.5101,,1999,Unknown,-,FALSE,117,46.61168878
NCAAD1,Anna Klein (99),2020,559466/anna-klein,F,21,27,SAC,31,0.4516,0.1613,0.6774,8,6,0,14,4,1,0,5,2,0,0,128,10.94,14,21,0.6774,73.68,63.16,0,33,20,62.26,15.04,34,38,21.16,1.9211,,1999,Unknown,-,FALSE,117,60.90260788
NCAAD1,Anna Klein (99),2021,559466/anna-klein,F,22,27,SAC,10,0,0.1,0.1,0,0,0,0,0,1,0,1,0,0,0,20,0,0,1,0.1,0,0,,1,8,11.11,-2.68,4,25,17.88,0.3357,-,1999,Unknown,-,FALSE,117,348.5254692
NCAAD1,Taylor House,2020,201888/taylor-house,F,22,10,QUI,31,0.4194,0,0.4839,9,4,2,13,0,0,0,0,0,0,0,80,11.25,9,15,0.4839,100,69.23,0,31,21,59.62,-7.05,48,24,19.83,1.2686,9/29/1998,1998,5'10,-,FALSE,117,92.22765253
NCAAD1,Alyssa Gorecki,2019,368916/alyssa-gorecki,F,22,23,VER,36,0.1944,0.1111,0.3889,6,1,2,7,4,0,1,4,0,0,0,71,14.08,10,14,0.3889,63.64,90.91,0,14,33,29.79,-13.89,38,49,18.65,0.9829,1/17/1997,1997,5'04,L,FALSE,117,119.0355072
NCAAD1,Jenniina Nylund,2019,384880/jenniina-nylund,F,20,81,STC,35,0.4286,0.0857,0.6,6,9,3,15,2,1,0,3,0,0,0,69,11.59,8,21,0.6,83.33,44.44,0,21,27,43.75,12.57,29,64,16.97,1.8187,6/18/1999,1999,5'07,L,FALSE,117,64.33166548
NCAAD1,Randi Marcon,2019,399970/randi-marcon,F,22,29,QUI,36,0.2778,0.0833,0.5,9,1,5,10,3,0,0,3,0,0,0,77,15.58,12,18,0.5,76.92,92.31,0,27,22,55.1,8.04,32,36,19.87,1.0907,4/29/1997,1997,5'11,R,FALSE,117,107.2705602
NCAAD1,Danielle Serdachny,2021,413204/danielle-serdachny,F,20,9,CLG,22,0.4545,0.3182,0.9545,6,4,3,10,3,4,1,7,0,0,0,75,12,9,21,0.9545,58.82,52.94,,18,16,52.94,-14.5,29,14,20.95,2.2126,5/21/2001,2001,5'09,R,FALSE,117,52.87896592
NCAAD1,Rachel Weiss,2020,488557/rachel-weiss,F,19,29,PSU,36,0.0833,0.1111,0.3333,2,1,3,3,1,3,2,4,0,0,0,69,4.35,3,12,0.3333,42.86,42.86,0,13,15,46.43,-2.83,33,34,15.59,0.7482,2/19/2001,2001,5'07,R,FALSE,117,156.3753007
NCAAD1,Rachel Moore,2019,495228/rachel-moore,F,22,18,HCR,33,0.2727,0.0909,0.4242,5,4,2,9,2,1,0,3,0,0,0,76,9.21,7,14,0.4242,75,58.33,0,14,27,34.15,24.95,8,79,18.88,1.1556,,1997,5'08,R,TRUE,117,101.2461059
NCAAD1,Carlie Magier,2020,553436/carlie-magier,F,21,28,HCR,33,0.2121,0.0303,0.303,3,4,1,7,1,0,0,1,1,0,0,74,6.76,5,10,0.303,87.5,50,0,13,37,26,5.41,14,54,20.19,0.8103,7/7/1999,1999,5'06,L,FALSE,117,144.3909663
NCAAD1,Emily King,2020,553711/emily-king,F,20,13,UNI,31,0.0645,0.129,0.2903,0,2,1,2,3,1,2,4,0,0,0,67,4.48,3,9,0.2903,33.33,50,0,17,24,41.46,22.89,13,57,18.67,0.6221,10/30/2000,2000,5'04,L,FALSE,117,188.0726571
NCAAD1,Tatum Skaggs,2021,554449/tatum-skaggs,F,23,11,OSU,18,0.3889,0.1667,0.9444,6,1,7,7,2,1,0,3,0,0,0,68,11.76,8,17,0.9444,70,80,,19,15,55.88,-1.56,27,20,20.37,1.6361,11/13/1998,1998,5'06,R,FALSE,117,71.5115213
NCAAD1,Ryleigh Houston,2019,368748/ryleigh-houston,F,21,28,MND,35,0.3143,0.1143,0.5714,8,3,3,11,1,3,2,4,0,0,0,73,12.33,9,20,0.5714,73.33,60,0,18,14,56.25,8.32,58,63,15.28,1.6824,9/14/1998,1998,5'04,R,TRUE,116,68.9491203
NCAAD1,Erin Connolly,2019,401298/erin-connolly,F,0,15,BC,39,0.2051,0.0769,0.359,6,2,2,8,2,1,1,3,0,0,0,62,12.9,8,14,0.359,72.73,72.73,0,21,12,63.64,-3.03,76,38,13.17,1.2846,,,5'07,L,FALSE,116,90.30048264
NCAAD1,Celine Tedenby,2020,366088/celine-tedenby,F,21,20,MNE,31,0.2903,0.129,0.4839,8,1,1,9,2,2,1,4,0,0,0,74,13.51,10,15,0.4839,69.23,76.92,0,19,16,54.29,-4.81,39,27,17,1.4801,6/15/1999,1999,5'06,L,FALSE,115,77.69745287
NCAAD1,Deziray De Sousa,2019,495517/deziray-de-sousa,F,21,8,BU,37,0.1622,0.1081,0.4054,3,3,4,6,4,0,1,4,0,0,0,70,10,7,15,0.4054,60,70,0,15,9,62.5,-4.49,69,34,14.36,1.1292,2/22/1998,1998,5'08,L,FALSE,115,101.842012
NCAAD1,Catherine Crawley,2019,498646/catherine-crawley,F,22,97,CON,36,0.4444,0.1111,0.6944,9,7,2,16,1,3,3,4,0,0,0,69,14.49,10,25,0.6944,80,50,0,25,28,47.17,5.79,36,51,18.71,1.7817,,1997,5'03,L,FALSE,115,64.54509738
NCAAD1,Lauren Severson,2019,532878/lauren-severson,F,20,17,REN,37,0.1081,0.0541,0.2162,2,2,0,4,2,0,1,2,1,0,0,69,7.25,5,8,0.2162,66.67,66.67,0,6,28,17.65,-24.24,31,43,17.98,0.6313,8/5/1999,1999,5'05,L,FALSE,115,182.163789
NCAAD1,Emma Wuthrich,2019,588869/emma-wuthrich,F,19,19,BU,37,0.1892,0.027,0.2703,5,2,1,7,1,0,1,1,0,0,0,68,8.82,6,10,0.2703,87.5,75,0,12,8,60,-7.29,72,35,12.54,1.0347,,2000,5'08,L,FALSE,115,111.1433266
NCAAD1,Dana Rasmussen,2020,400992/dana-rasmussen,F,23,4,STC,35,0.1429,0.0286,0.2286,4,1,2,5,1,0,0,1,0,0,0,76,6.58,5,8,0.2286,83.33,83.33,0,11,39,22,-17.58,38,58,17.11,0.6011,2/11/1997,1997,5'02,R,TRUE,114,189.6523041
NCAAD1,Haley Mack,2019,495214/haley-mack,F,21,19,BMJ,22,0.3182,0.1364,0.5,5,2,1,7,3,0,0,3,0,0,0,64,12.5,8,11,0.5,70,80,0,10,13,43.48,-5.01,32,34,16.58,1.6449,5/29/1998,1998,5'02,L,FALSE,114,69.30512493
NCAAD1,Delaney Drake,2020,500716/delaney-drake,F,21,10,WIS,36,0.3056,0,0.4167,4,7,4,11,0,0,0,0,0,0,0,70,5.71,4,15,0.4167,100,36.36,0,21,13,61.76,-11.57,99,36,13.15,1.3941,9/14/1999,1999,5'07,L,TRUE,114,81.773187
NCAAD1,Liz Schepers,2021,521098/liz-schepers,F,23,21,OSU,18,0.6111,0,0.7778,6,5,3,11,0,0,0,0,0,0,0,73,8.22,6,14,0.7778,100,54.55,,22,13,62.86,10.68,24,22,20.56,1.7838,2/13/1998,1998,5'07,L,FALSE,114,63.90850992
NCAAD1,Lizzie Jacobson,2020,581792/lizzie-jacobson,F,20,16,SAC,22,0,0,0.0455,0,0,0,0,0,0,1,0,0,0,0,12,0,0,1,0.0455,0,0,0,4,7,36.36,-12.35,38,40,10.18,0.01,12/4/2000,2000,Unknown,-,FALSE,113,11300
NCAAD1,Lizzie Jacobson,2021,581792/lizzie-jacobson,F,21,16,SAC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,0,4,0,-12.5,4,28,10.23,0.01,12/4/2000,2000,Unknown,-,FALSE,113,11300
NCAAD1,Taylor Williamson,2019,368018/taylor-williamson,F,23,7,MIN,39,0.4359,0.0256,0.5385,9,8,3,17,0,1,0,1,0,0,0,64,14.06,9,21,0.5385,94.44,50,0,30,17,63.83,-9.16,100,37,14.03,1.9745,8/20/1996,1996,5'07,L,TRUE,113,57.2296784
NCAAD1,Savannah Bouzide,2019,389448/savannah-bouzide,F,20,17,CON,36,0.2778,0.0556,0.4167,8,2,3,10,0,2,0,2,0,0,0,76,10.53,8,15,0.4167,83.33,66.67,0,17,24,41.46,-2.98,44,55,16.13,1.2399,3/17/1999,1999,5'05,R,TRUE,113,91.13638197
NCAAD1,Sierra Burt,2020,389540/sierra-burt,F,21,7,LIN,31,0.4516,0.0323,0.5484,6,8,1,14,0,1,1,1,0,0,0,87,6.9,6,17,0.5484,93.33,40,0,16,26,38.1,4.76,17,34,20.38,1.4248,3/25/1999,1999,5'06,L,FALSE,113,79.30937675
NCAAD1,Maia Martinez,2020,521116/maia-martinez,F,21,27,UNI,34,0.0588,0.0882,0.1471,2,0,0,2,1,2,0,3,0,0,0,63,4.76,3,5,0.1471,40,60,0,9,26,25.71,-2.38,25,64,16.59,0.5318,,1999,5'07,L,FALSE,113,212.485897
NCAAD1,Jennifer Gardiner,2021,553435/jennifer-gardiner,F,20,12,OSU,18,0.6667,0.1111,0.8333,6,6,1,12,2,0,0,2,0,0,0,72,11.11,8,15,0.8333,85.71,57.14,,14,14,50,-10.38,32,21,18.47,2.5266,9/18/2001,2001,5'06,L,TRUE,113,44.7241352
NCAAD1,Courtney Kollman,2020,553441/courtney-kollman,F,20,14,RMU,36,0.2222,0,0.3056,4,4,2,8,0,0,0,0,1,0,0,77,6.49,5,11,0.3056,100,50,0,14,11,56,2.79,58,51,12.51,1.1992,6/8/2000,2000,5'04,R,FALSE,113,94.22948632
NCAAD1,Emilie Harley,2019,553464/emilie-harley,F,20,22,RMU,36,0.1111,0.0278,0.2778,3,1,4,4,1,0,0,1,1,0,0,74,6.76,5,10,0.2778,80,80,0,14,17,45.16,-5.95,46,44,15.15,0.6599,5/19/1999,1999,6'00,L,FALSE,113,171.2380664
NCAAD1,Samantha Cogan,2019,368730/samantha-cogan,F,22,7,WIS,38,0.4474,0.1053,0.6842,6,11,4,17,1,3,1,4,0,0,0,127,5.51,7,26,0.6842,80.95,33.33,0,33,13,71.74,-10.28,73,16,17.88,1.8549,7/7/1997,1997,5'08,L,FALSE,112,60.38061351
NCAAD1,Samantha Davis,2019,368911/samantha-davis,F,22,16,BU,37,0.8108,0.2703,1.4054,20,10,7,30,4,6,3,10,1,1,0,142,17.61,25,52,1.4054,75,60,0,48,13,78.69,24.14,36,30,22.66,3.0061,4/23/1997,1997,5'04,L,TRUE,112,37.25757626
NCAAD1,Samantha Davis,2020,368911/samantha-davis,F,23,16,BU,36,0.3611,0.4722,1.1389,8,5,6,13,8,9,3,17,1,1,0,128,13.28,17,41,1.1389,43.33,53.33,0,22,15,59.46,-8.6,49,23,21.44,2.4877,4/23/1997,1997,5'04,L,FALSE,112,45.02150581
NCAAD1,Samantha Burke,2019,520758/samantha-burke,F,19,10,COR,36,0.1667,0.0833,0.3056,3,3,1,6,0,3,1,3,0,0,0,46,6.52,3,11,0.3056,66.67,33.33,0,11,8,57.89,-8.16,72,37,12.68,1.1831,3/6/2000,2000,5'10,R,FALSE,112,94.66655397
NCAAD1,Samantha Burke,2020,520758/samantha-burke,F,20,10,COR,31,0.0645,0.0323,0.1613,0,2,2,2,1,0,0,1,0,0,0,7,14.29,1,5,0.1613,66.67,33.33,0,6,2,75,-8.02,88,18,9.15,0.6344,3/6/2000,2000,5'10,R,FALSE,112,176.5447667
NCAAD1,Jenniina Nylund,2021,384880/jenniina-nylund,F,22,81,STC,19,0.4737,0.1053,0.6316,6,3,0,9,1,1,1,2,0,0,0,62,11.29,7,12,0.6316,81.82,63.64,,15,21,41.67,17.86,10,32,22.59,1.5379,6/18/1999,1999,5'07,L,TRUE,112,72.8265817
NCAAD1,Keiko DeClerck,2019,397475/keiko-declerck,F,22,17,PRN,29,0.0345,0,0.1034,1,0,2,1,0,0,0,0,0,0,0,64,1.56,1,3,0.1034,100,100,0,11,8,57.89,-4.06,57,35,12.32,0.1679,4/16/1997,1997,5'05,R,FALSE,112,667.0637284
NCAAD1,Kiki Radke,2019,495212/kiki-radke,F,21,8,BMJ,33,0.2424,0,0.3333,3,5,1,8,0,0,2,0,0,0,0,69,4.35,3,11,0.3333,100,37.5,0,17,25,40.48,-6.58,48,54,16.34,0.8899,8/19/1998,1998,5'03,L,FALSE,112,125.8568378
NCAAD1,Delaney Belinskas,2019,495225/delaney-belinskas,F,0,17,BC,39,0.4103,0,0.5128,10,6,3,16,0,0,1,0,0,0,0,72,13.89,10,20,0.5128,100,62.5,0,28,6,82.35,21.29,69,44,13.47,1.8272,,,5'08,R,TRUE,112,61.29597198
NCAAD1,Anneke Linser,2020,500718/anneke-linser,F,21,13,MND,36,0.25,0.0278,0.3611,6,3,3,9,0,1,0,1,0,0,0,82,7.32,6,13,0.3611,90,60,0,14,16,46.67,-11.89,65,46,13.56,1.2288,11/10/1999,1999,5'10,R,FALSE,112,91.14583333
NCAAD1,Kelsey King,2021,521012/kelsey-king,F,21,20,MNS,20,0.4,0.25,0.7,6,2,1,8,2,3,0,5,0,0,0,81,9.88,8,14,0.7,61.54,61.54,,11,15,42.31,7.61,17,32,19.18,2.0329,10/29/2000,2000,5'08,R,TRUE,112,55.0937085
NCAAD1,Abby Welch,2019,497030/abby-welch,F,21,10,PSU,36,0.1389,0.0278,0.25,3,2,2,5,1,0,0,1,1,0,0,55,9.09,5,9,0.25,83.33,66.67,0,16,18,47.06,-7.04,33,28,15.6,0.7479,6/24/1998,1998,5'07,-,FALSE,111,148.4155636
NCAAD1,Joelle Fiala,2021,533761/joelle-fiala,F,20,25,RMU,24,0.2083,0.0417,0.5417,3,2,6,5,0,1,1,1,0,0,0,76,3.95,3,13,0.5417,83.33,50,,19,10,65.52,2.55,34,20,17.75,0.8452,12/22/2001,2001,5'07,R,FALSE,111,131.3298628
NCAAD1,Rebecca Vanstone,2019,406515/rebecca-vanstone,F,19,18,YAL,28,0.5357,0.1071,0.75,10,5,3,15,3,0,0,3,0,0,0,70,18.57,13,21,0.75,83.33,72.22,0,24,13,64.86,33.88,22,49,18.12,2.1285,7/12/2000,2000,5'05,R,FALSE,110,51.67958656
NCAAD1,Jennifer Gardiner,2020,553435/jennifer-gardiner,F,19,12,OSU,38,0.2632,0.0526,0.3947,8,2,2,10,1,1,1,2,0,0,0,64,14.06,9,15,0.3947,83.33,75,0,16,13,55.17,-8.39,82,47,12.35,1.5343,9/18/2001,2001,5'05,L,FALSE,110,71.69393209
NCAAD1,Mia Brown,2019,627463/mia-brown,F,19,15,NOE,38,0.1053,0.0263,0.2368,3,1,4,4,1,0,0,1,0,0,0,64,6.25,4,9,0.2368,80,80,0,18,21,46.15,-22.7,84,38,14.61,0.5405,,2000,5'09,R,FALSE,110,203.5152636
NCAAD1,Klara Hymlarova,2020,372806/klara-hymlarova,F,21,12,STC,35,0.4857,0.1143,0.7429,8,9,3,17,0,4,2,4,0,0,0,79,10.13,8,26,0.7429,80.95,38.1,0,26,30,46.43,20.87,23,67,19.58,1.8384,2/27/1999,1999,5'05,L,FALSE,109,59.29068755
NCAAD1,Kayla Friesen,2020,201337/kayla-friesen,F,22,29,CLK,28,0.5714,0.1786,1.0714,9,7,7,16,1,4,1,5,0,1,0,57,17.54,10,30,1.0714,76.19,47.62,0,28,9,75.68,13.18,35,21,19.49,2.419,3/5/1998,1998,5'05,L,TRUE,109,45.05994212
NCAAD1,Natalie Snodgrass,2021,368909/natalie-snodgrass,F,23,9,CON,20,0.35,0,0.5,6,1,2,7,0,0,1,0,0,0,0,101,5.94,6,10,0.5,100,85.71,,12,8,60,5.45,24,20,19.2,1.0938,12/17/1998,1998,5'06,L,FALSE,109,99.65258731
NCAAD1,Steph Keryluk,2019,400978/steph-keryluk,F,23,10,STL,31,0.0968,0.0645,0.1935,1,2,0,3,1,1,1,2,0,0,0,56,3.57,2,6,0.1935,60,40,0,6,14,30,-20,43,43,13.59,0.7122,6/3/1996,1996,5'05,R,FALSE,109,153.0468969
NCAAD1,Darcie Lappan,2020,406528/darcie-lappan,F,19,72,CLG,34,0.3235,0.0294,0.3824,9,2,1,11,0,1,0,1,0,0,0,74,12.16,9,13,0.3824,91.67,75,0,21,21,50,-8.59,58,41,16.12,1.3137,9/15/2001,2001,5'07,L,FALSE,109,82.97175915
NCAAD1,Danielle Serdachny,2020,413204/danielle-serdachny,F,19,9,CLG,38,0.5789,0.0789,0.8421,8,14,4,22,1,2,2,3,1,0,0,69,14.49,10,32,0.8421,88,36,0,36,28,56.25,-0.89,52,39,19.35,2.122,5/21/2001,2001,5'09,R,FALSE,109,51.36663525
NCAAD1,Kayla Vespa,2019,431681/kayla-vespa,F,0,9,STL,29,0.2414,0.0345,0.3793,1,6,2,7,0,1,1,1,0,0,0,56,1.79,1,11,0.3793,87.5,12.5,0,15,12,55.56,18.41,26,44,15.39,1.0753,,,5'02,L,FALSE,109,101.3670604
NCAAD1,Summer-Rae Dobson,2021,523068/summer-rae-dobson,F,22,7,MRC,18,0.3333,0.1667,0.6667,4,2,1,6,0,3,2,3,0,0,0,66,6.06,4,12,0.6667,66.67,44.44,,10,9,52.63,-7.79,29,19,19.12,1.5694,6/15/1999,1999,5'05,R,FALSE,109,69.45329425
NCAAD1,Morgan Wabick,2020,553170/morgan-wabick,F,21,27,CON,39,0.2821,0.1026,0.5385,5,6,4,11,3,1,2,4,0,0,0,93,8.6,8,21,0.5385,73.33,53.33,0,24,24,50,1.96,49,53,18.3,1.2611,2/14/1999,1999,5'03,L,FALSE,109,86.43247958
NCAAD1,Brooke Bink,2020,553478/brooke-bink,F,19,8,OSU,38,0.2105,0,0.3158,5,3,4,8,0,0,0,0,0,0,0,74,6.76,5,12,0.3158,100,62.5,0,19,10,65.52,4.28,79,50,12.29,1.0279,4/16/2001,2001,5'05,R,FALSE,109,106.0414437
NCAAD1,Olivia Cvar,2020,553724/olivia-cvar,F,19,91,STC,35,0.2286,0.1143,0.4286,8,0,2,8,2,2,1,4,0,0,0,61,16.39,10,15,0.4286,66.67,83.33,0,17,19,47.22,18.13,32,78,15.11,1.3616,2/23/2001,2001,5'08,L,FALSE,109,80.05287897
NCAAD1,Pippy Gerace,2019,397298/pippy-gerace,F,22,15,COR,36,0.3056,0,0.4167,9,2,4,11,0,0,0,0,0,0,0,59,15.25,9,15,0.4167,100,81.82,0,23,14,62.16,-3.77,60,31,13.81,1.3271,4/10/1997,1997,5'02,R,FALSE,108,81.38045362
NCAAD1,Nara Elia,2020,500710/nara-elia,F,21,27,BU,36,0.4167,0.1667,0.8333,7,8,4,15,4,2,5,6,0,0,0,77,14.29,11,30,0.8333,71.43,52.38,0,25,9,73.53,12.2,46,29,18.58,1.8839,2/3/1999,1999,5'07,R,FALSE,108,57.32788365
NCAAD1,Bailey Burton,2020,521020/bailey-burton,F,19,6,PRV,36,0.1944,0.0556,0.3889,6,1,3,7,0,2,2,2,0,0,0,67,8.96,6,14,0.3889,77.78,66.67,0,18,20,47.37,-11.38,47,33,16.58,0.9047,1/31/2001,2001,5'07,R,FALSE,108,119.3765889
NCAAD1,Summer-Rae Dobson,2019,523068/summer-rae-dobson,F,20,7,MRC,34,0.3529,0.1471,0.6765,4,8,4,12,4,1,2,5,0,0,0,67,11.94,8,23,0.6765,70.59,47.06,0,22,17,56.41,13.88,37,50,15.97,1.8784,6/15/1999,1999,5'05,R,FALSE,108,57.49574106
NCAAD1,Rosalie Demers,2019,554016/rosalie-demers,F,19,81,CLG,38,0.2895,0.1316,0.5,6,5,1,11,1,4,2,5,0,0,0,67,10.45,7,19,0.5,68.75,43.75,0,21,21,50,-13.48,73,42,16.87,1.4977,6/15/2000,2000,5'04,L,FALSE,108,72.11056954
NCAAD1,Anjelica Diffendal,2020,554167/anjelica-diffendal,F,22,24,RMU,36,0.4167,0,0.5,9,6,3,15,0,0,0,0,0,0,0,84,10.71,9,18,0.5,100,60,0,22,23,48.89,-7.29,50,39,14.94,1.6733,12/3/1998,1998,6'00,R,TRUE,108,64.54311839
NCAAD1,Gabby Jones,2020,627460/gabby-jones,F,21,15,MER,34,0.1471,0.0294,0.2353,2,3,0,5,1,0,2,1,0,0,0,72,4.17,3,8,0.2353,83.33,50,0,8,30,21.05,-11.84,25,51,19.29,0.5488,9/30/1999,1999,5'04,R,FALSE,108,196.7930029
NCAAD1,Elle Hartje,2020,416326/elle-hartje,F,19,4,YAL,28,0.5357,0.1786,0.8929,9,6,5,15,2,3,0,5,0,0,0,64,17.19,11,25,0.8929,75,55,0,36,13,73.47,33.74,29,44,19.54,2.1933,4/13/2001,2001,5'05,L,FALSE,107,48.78493594
NCAAD1,Emma Vlasic,2019,398983/emma-vlasic,F,23,15,YAL,29,0.2759,0.0345,0.5862,7,1,2,8,1,0,6,1,0,0,0,72,11.11,8,17,0.5862,88.89,88.89,0,15,25,37.5,-9.72,34,38,19.08,0.9761,9/2/1996,1996,5'07,L,FALSE,106,108.5954308
NCAAD1,Natalie Heising,2021,399383/natalie-heising,F,22,20,PSU,17,0.7059,0.0588,1.1765,5,7,3,12,1,0,3,1,1,0,0,78,8.97,7,20,1.1765,92.31,46.15,,22,9,70.97,1.27,23,10,21.63,2.2846,6/14/1999,1999,5'05,R,TRUE,106,46.39761884
NCAAD1,Emily Oden,2019,399387/emily-oden,F,20,21,MIN,39,0.359,0.1026,0.5897,8,6,3,14,1,3,1,4,0,0,1,62,14.52,9,23,0.5897,77.78,50,0,21,10,67.74,-3.5,109,44,12.75,2.1716,11/14/1999,1999,5'08,R,FALSE,106,48.8119359
NCAAD1,Lexi Templeman,2021,413394/lexi-templeman,F,22,10,RMU,24,0.6667,0.1667,1.2083,7,9,5,16,0,4,3,4,0,1,0,71,9.86,7,29,1.2083,80,35,,26,10,72.22,14.78,27,20,21.83,2.4054,10/13/1999,1999,5'02,R,FALSE,106,44.06751476
NCAAD1,Grace Lee,2020,414136/grace-lee,F,20,28,YAL,32,0.4063,0.0625,0.6563,9,4,4,13,1,1,2,2,0,0,0,72,13.89,10,21,0.6563,86.67,66.67,0,22,28,44,-10.95,50,41,17.85,1.5761,1/13/2000,2000,5'04,L,FALSE,106,67.25461582
NCAAD1,Catherine Crawley,2020,498646/catherine-crawley,F,23,97,CON,39,0.5128,0.1538,0.7949,11,9,3,20,4,2,2,6,0,0,0,93,16.13,15,31,0.7949,76.92,57.69,0,36,36,50,2.56,37,41,21.11,1.8949,,1997,5'03,L,FALSE,106,55.93962742
NCAAD1,Kalie Grant,2019,413426/kalie-grant,F,22,8,STL,36,0.2222,0.1111,0.5556,4,4,4,8,2,2,2,4,1,1,0,70,10,7,20,0.5556,66.67,50,0,21,21,50,10.24,33,50,17.15,1.3603,10/20/1997,1997,5'04,R,FALSE,105,77.1888554
NCAAD1,Annie Kuehl,2020,520624/annie-kuehl,F,19,9,PRN,33,0.2727,0.0909,0.4545,7,2,3,9,1,2,0,3,0,0,0,73,10.96,8,15,0.4545,75,66.67,0,17,7,70.83,3.01,78,37,12.86,1.6963,8/11/2001,2001,5'07,R,FALSE,105,61.89942817
NCAAD1,Julie Gough,2021,523639/julie-gough,F,20,14,PSU,21,0.5238,0.0952,0.9048,9,2,5,11,2,0,1,2,0,0,0,59,18.64,11,19,0.9048,84.62,84.62,,21,5,80.77,11.8,40,18,16.81,2.2096,2/7/2001,2001,5'08,R,TRUE,105,47.51991311
NCAAD1,Michelle Weis,2020,220124/michelle-weis,F,23,19,MNE,30,0.2,0,0.2,4,2,0,6,0,0,0,0,0,0,0,72,5.56,4,6,0.2,100,66.67,0,15,17,46.88,-6.35,33,29,16.26,0.7379,4/10/1997,1997,5'07,L,FALSE,104,140.9405068
NCAAD1,Megan Fergusson,2020,413387/megan-fergusson,F,21,28,MER,34,0.1176,0.0882,0.2353,1,3,0,4,1,2,1,3,0,0,0,67,2.99,2,8,0.2353,57.14,28.57,0,6,27,18.18,-15.15,27,54,18.07,0.6836,1/5/1999,1999,5'08,L,FALSE,104,152.1357519
NCAAD1,Katie McMillan,2019,497006/katie-mcmillan,F,21,16,PSU,36,0.2778,0.0833,0.4722,7,3,2,10,1,2,1,3,0,1,0,56,14.29,8,17,0.4722,76.92,61.54,0,18,13,58.06,9.63,31,33,16.15,1.4445,2/24/1998,1998,5'04,-,TRUE,104,71.99723088
NCAAD1,Ellie Moser,2019,521093/ellie-moser,F,19,16,BMJ,34,0.2059,0,0.2059,3,4,0,7,0,0,0,0,0,0,0,53,5.66,3,7,0.2059,100,42.86,0,11,18,37.93,-5.55,50,65,13.01,0.9496,4/9/2000,2000,5'08,R,FALSE,104,109.5197978
NCAAD1,Eleri MacKay,2019,554011/eleri-mackay,F,19,14,CLG,38,0.2632,0.1579,0.5,7,3,0,10,4,2,3,6,0,0,0,69,15.94,11,19,0.5,62.5,68.75,0,18,18,50,-12.81,76,45,14.77,1.7102,6/18/2000,2000,5'06,L,FALSE,104,60.81160098
NCAAD1,Ashton Bell,2021,404436/ashton-bell,F,22,26,MND,17,0.5294,0.0588,0.7647,2,7,2,9,1,0,1,1,0,0,0,49,6.12,3,13,0.7647,90,30,,27,10,72.97,14.91,18,13,23.24,1.5187,12/7/1999,1999,5'09,R,FALSE,103,67.82116284
NCAAD1,Brette Pettet,2019,372864/brette-pettet,F,20,20,WIS,39,0.0769,0.0513,0.1538,1,2,1,3,2,0,0,2,0,0,0,48,6.25,3,6,0.1538,60,60,0,12,2,85.71,6.03,102,26,10.28,0.7484,1/14/1999,1999,5'03,R,FALSE,102,136.2907536
NCAAD1,Jenniina Nylund,2020,384880/jenniina-nylund,F,21,81,STC,30,0.2,0.0667,0.4333,3,3,4,6,1,1,1,2,0,0,0,60,6.67,4,13,0.4333,75,50,0,13,26,33.33,-5.22,32,51,16.99,0.9415,6/18/1999,1999,5'07,L,FALSE,102,108.3377589
NCAAD1,Kristy Pidgeon,2019,413430/kristy-pidgeon,F,20,20,CLK,36,0.1389,0.0278,0.2222,3,2,2,5,1,0,0,1,0,0,0,58,6.9,4,8,0.2222,83.33,66.67,0,8,14,36.36,-38.83,97,32,12.04,0.8305,12/16/1999,1999,5'10,R,FALSE,102,122.8175798
NCAAD1,Alexa Vasko,2021,431683/alexa-vasko,F,22,10,MRC,18,0.4444,0.1667,0.7778,3,5,2,8,2,1,0,3,0,1,0,65,7.69,5,14,0.7778,72.73,45.45,,16,10,61.54,5.44,23,18,21.14,1.8917,2/7/1999,1999,5'05,L,FALSE,102,53.91975472
